Age,Gender,Height_cm,Weight_kg,Desired_Weight_kg,Time_Period_weeks,BMI,BMR,Daily_Calories_Maintenance,Daily_Calories_Target,Breakfast,Lunch,Dinner,Snack
31,Female,164,117,108,17,43.5,1879.0,2912.45,2330.1,Eggs and toast,Burrito bowl,Steak with veggies,Protein bar
34,Female,187,74,69,23,21.16,1577.75,2445.51,2206.38,Eggs and toast,Pasta with veggies,Steak with veggies,Cheese and crackers
53,Male,157,117,104,18,47.47,1891.25,2931.44,2136.99,Eggs and toast,Rice and beans,Vegetable stir-fry,Dark chocolate
57,Female,154,94,82,19,39.64,1456.5,2257.58,1562.84,Oatmeal with fruits,Rice and beans,Chicken soup,Hummus with carrots
21,Male,197,109,98,16,28.09,2221.25,3442.94,2686.69,Pancakes,Sushi,Salmon and quinoa,Protein bar
19,Male,175,61,48,20,19.92,1613.75,2501.31,1786.31,Eggs and toast,Grilled chicken salad,Salmon and quinoa,Protein bar
23,Male,167,81,73,11,29.04,1743.75,2702.81,1902.81,Greek yogurt,Rice and beans,Vegetable stir-fry,Cheese and crackers
59,Male,155,62,50,24,25.81,1298.75,2013.06,1463.06,Smoothie,Burrito bowl,Steak with veggies,Cheese and crackers
21,Male,186,80,67,5,23.12,1862.5,2886.88,26.88,Smoothie,Grilled chicken salad,Chicken soup,Nuts and fruits
46,Male,197,69,60,8,17.78,1696.25,2629.19,1391.69,Eggs and toast,Grilled chicken salad,Vegetable stir-fry,Nuts and fruits
35,Female,162,67,58,9,25.53,1346.5,2087.08,987.08,Smoothie,Pasta with veggies,Salmon and quinoa,Nuts and fruits
43,Male,177,109,111,15,34.79,1986.25,3078.69,3225.35,Smoothie,Rice and beans,Tofu curry,Cheese and crackers
61,Female,154,112,111,21,47.23,1616.5,2505.58,2453.19,Oatmeal with fruits,Pasta with veggies,Steak with veggies,Nuts and fruits
51,Female,162,55,48,25,20.96,1146.5,1777.08,1469.08,Greek yogurt,Rice and beans,Tofu curry,Nuts and fruits
27,Male,166,81,84,25,29.39,1717.5,2662.12,2794.12,Greek yogurt,Sushi,Vegetable stir-fry,Hummus with carrots
53,Female,199,92,82,4,23.23,1737.75,2693.51,-56.49,Oatmeal with fruits,Pasta with veggies,Salmon and quinoa,Nuts and fruits
31,Female,189,51,48,20,14.28,1375.25,2131.64,1966.64,Oatmeal with fruits,Pasta with veggies,Chicken soup,Protein bar
48,Female,194,109,107,14,28.96,1901.5,2947.32,2790.18,Smoothie,Burrito bowl,Tofu curry,Cheese and crackers
32,Female,181,72,58,13,21.98,1530.25,2371.89,1187.27,Pancakes,Pasta with veggies,Chicken soup,Dark chocolate
25,Male,178,80,73,22,25.25,1792.5,2778.38,2428.38,Smoothie,Rice and beans,Salmon and quinoa,Hummus with carrots
31,Female,152,54,43,17,23.37,1174.0,1819.7,1107.94,Oatmeal with fruits,Burrito bowl,Tofu curry,Cheese and crackers
40,Male,189,83,72,13,23.24,1816.25,2815.19,1884.42,Greek yogurt,Pasta with veggies,Chicken soup,Cheese and crackers
57,Female,183,59,48,18,17.62,1287.75,1996.01,1323.79,Smoothie,Pasta with veggies,Chicken soup,Protein bar
38,Female,189,51,56,22,14.28,1340.25,2077.39,2327.39,Pancakes,Sushi,Tofu curry,Nuts and fruits
33,Male,176,60,58,7,19.37,1540.0,2387.0,2072.71,Smoothie,Pasta with veggies,Salmon and quinoa,Protein bar
62,Female,162,99,86,5,37.72,1531.5,2373.83,-486.17,Eggs and toast,Grilled chicken salad,Chicken soup,Nuts and fruits
35,Female,194,80,80,12,21.26,1676.5,2598.58,2598.58,Smoothie,Burrito bowl,Vegetable stir-fry,Nuts and fruits
64,Female,182,105,108,13,31.7,1706.5,2645.08,2898.92,Oatmeal with fruits,Grilled chicken salad,Tofu curry,Cheese and crackers
41,Male,155,58,59,14,24.14,1348.75,2090.56,2169.13,Greek yogurt,Burrito bowl,Steak with veggies,Nuts and fruits
43,Female,173,70,63,17,23.39,1405.25,2178.14,1725.2,Greek yogurt,Sushi,Steak with veggies,Hummus with carrots
42,Male,168,77,68,10,27.28,1615.0,2503.25,1513.25,Oatmeal with fruits,Pasta with veggies,Salmon and quinoa,Hummus with carrots
62,Female,165,111,103,18,40.77,1670.25,2588.89,2100.0,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Hummus with carrots
58,Male,189,56,46,25,15.68,1456.25,2257.19,1817.19,Oatmeal with fruits,Pasta with veggies,Chicken soup,Cheese and crackers
46,Male,177,65,53,22,20.75,1531.25,2373.44,1773.44,Smoothie,Burrito bowl,Steak with veggies,Protein bar
32,Female,182,53,48,25,16.0,1346.5,2087.08,1867.08,Oatmeal with fruits,Pasta with veggies,Salmon and quinoa,Dark chocolate
62,Female,197,53,56,18,13.66,1290.25,1999.89,2183.22,Oatmeal with fruits,Grilled chicken salad,Vegetable stir-fry,Nuts and fruits
18,Male,190,89,85,11,24.65,1992.5,3088.38,2688.38,Eggs and toast,Pasta with veggies,Vegetable stir-fry,Dark chocolate
42,Male,162,66,62,14,25.15,1467.5,2274.62,1960.34,Smoothie,Sushi,Salmon and quinoa,Protein bar
24,Female,192,101,91,12,27.4,1929.0,2989.95,2073.28,Pancakes,Grilled chicken salad,Salmon and quinoa,Protein bar
26,Male,194,101,95,18,26.84,2097.5,3251.12,2884.46,Pancakes,Pasta with veggies,Chicken soup,Cheese and crackers
41,Female,174,85,89,4,28.08,1571.5,2435.83,3535.82,Greek yogurt,Pasta with veggies,Salmon and quinoa,Hummus with carrots
18,Female,191,87,84,4,23.85,1812.75,2809.76,1984.76,Oatmeal with fruits,Rice and beans,Chicken soup,Hummus with carrots
61,Female,185,99,102,22,28.93,1680.25,2604.39,2754.39,Greek yogurt,Burrito bowl,Chicken soup,Protein bar
25,Female,176,112,103,6,36.16,1934.0,2997.7,1347.7,Eggs and toast,Grilled chicken salad,Tofu curry,Cheese and crackers
41,Male,187,112,115,13,32.03,2088.75,3237.56,3491.41,Pancakes,Rice and beans,Vegetable stir-fry,Cheese and crackers
28,Female,156,111,98,11,45.61,1784.0,2765.2,1465.2,Oatmeal with fruits,Sushi,Vegetable stir-fry,Nuts and fruits
34,Male,154,56,44,18,23.61,1357.5,2104.12,1370.79,Eggs and toast,Burrito bowl,Vegetable stir-fry,Hummus with carrots
25,Female,192,76,74,13,20.62,1674.0,2594.7,2425.47,Eggs and toast,Grilled chicken salad,Tofu curry,Protein bar
52,Male,194,63,52,4,16.74,1587.5,2460.62,-564.38,Oatmeal with fruits,Pasta with veggies,Chicken soup,Dark chocolate
52,Female,180,54,52,21,16.67,1244.0,1928.2,1823.44,Eggs and toast,Grilled chicken salad,Chicken soup,Hummus with carrots
50,Male,172,104,103,5,35.15,1870.0,2898.5,2678.5,Oatmeal with fruits,Pasta with veggies,Salmon and quinoa,Nuts and fruits
22,Male,191,51,50,22,13.98,1598.75,2478.06,2428.06,Oatmeal with fruits,Burrito bowl,Tofu curry,Cheese and crackers
59,Female,159,111,114,16,43.91,1647.75,2554.01,2760.26,Smoothie,Pasta with veggies,Salmon and quinoa,Protein bar
56,Female,181,70,75,25,21.37,1390.25,2154.89,2374.89,Greek yogurt,Sushi,Tofu curry,Hummus with carrots
58,Female,192,70,72,4,18.99,1449.0,2245.95,2795.95,Eggs and toast,Pasta with veggies,Salmon and quinoa,Dark chocolate
45,Female,179,59,60,5,18.41,1322.75,2050.26,2270.26,Eggs and toast,Sushi,Steak with veggies,Nuts and fruits
24,Male,188,107,112,19,30.27,2130.0,3301.5,3590.97,Smoothie,Burrito bowl,Vegetable stir-fry,Nuts and fruits
26,Female,180,88,79,18,27.16,1714.0,2656.7,2106.7,Smoothie,Burrito bowl,Vegetable stir-fry,Hummus with carrots
25,Male,167,54,55,16,19.36,1463.75,2268.81,2337.56,Smoothie,Grilled chicken salad,Chicken soup,Dark chocolate
29,Male,185,114,107,19,33.31,2156.25,3342.19,2936.92,Pancakes,Sushi,Steak with veggies,Nuts and fruits
51,Female,151,62,60,20,27.19,1147.75,1779.01,1669.01,Pancakes,Sushi,Vegetable stir-fry,Protein bar
50,Male,163,102,100,24,38.39,1793.75,2780.31,2688.65,Pancakes,Rice and beans,Chicken soup,Nuts and fruits
40,Male,162,94,95,10,35.82,1757.5,2724.12,2834.12,Oatmeal with fruits,Rice and beans,Steak with veggies,Dark chocolate
41,Male,178,81,78,20,25.56,1722.5,2669.88,2504.88,Eggs and toast,Rice and beans,Vegetable stir-fry,Cheese and crackers
54,Male,161,85,90,10,32.79,1591.25,2466.44,3016.44,Greek yogurt,Pasta with veggies,Salmon and quinoa,Cheese and crackers
52,Female,188,109,111,16,30.84,1844.0,2858.2,2995.7,Oatmeal with fruits,Rice and beans,Tofu curry,Hummus with carrots
61,Female,151,60,63,8,26.31,1077.75,1670.51,2083.01,Eggs and toast,Sushi,Steak with veggies,Dark chocolate
57,Female,181,112,116,20,34.19,1805.25,2798.14,3018.14,Eggs and toast,Pasta with veggies,Chicken soup,Nuts and fruits
39,Female,162,70,68,6,26.67,1356.5,2102.58,1735.91,Smoothie,Burrito bowl,Steak with veggies,Nuts and fruits
44,Male,195,101,98,10,26.56,2013.75,3121.31,2791.31,Smoothie,Grilled chicken salad,Chicken soup,Cheese and crackers
52,Male,176,104,108,20,33.57,1885.0,2921.75,3141.75,Oatmeal with fruits,Rice and beans,Steak with veggies,Cheese and crackers
18,Female,198,75,67,10,19.13,1736.5,2691.58,1811.58,Smoothie,Burrito bowl,Chicken soup,Protein bar
52,Female,190,117,109,24,32.41,1936.5,3001.58,2634.91,Eggs and toast,Sushi,Vegetable stir-fry,Cheese and crackers
54,Female,166,83,85,4,30.12,1436.5,2226.58,2776.58,Smoothie,Grilled chicken salad,Salmon and quinoa,Protein bar
64,Male,189,101,101,20,28.27,1876.25,2908.19,2908.19,Pancakes,Burrito bowl,Vegetable stir-fry,Nuts and fruits
31,Female,180,101,96,20,31.17,1819.0,2819.45,2544.45,Smoothie,Grilled chicken salad,Salmon and quinoa,Protein bar
20,Female,183,78,81,14,23.29,1662.75,2577.26,2812.98,Eggs and toast,Rice and beans,Vegetable stir-fry,Protein bar
18,Female,173,87,85,6,29.07,1700.25,2635.39,2268.72,Oatmeal with fruits,Sushi,Vegetable stir-fry,Hummus with carrots
22,Male,194,91,94,18,24.18,2017.5,3127.12,3310.46,Greek yogurt,Grilled chicken salad,Steak with veggies,Cheese and crackers
43,Male,184,70,62,24,20.68,1640.0,2542.0,2175.33,Smoothie,Burrito bowl,Tofu curry,Protein bar
31,Male,197,91,84,14,23.45,1991.25,3086.44,2536.44,Eggs and toast,Rice and beans,Chicken soup,Nuts and fruits
56,Male,155,62,55,19,25.81,1313.75,2036.31,1631.05,Greek yogurt,Rice and beans,Chicken soup,Dark chocolate
44,Male,168,113,117,25,40.04,1965.0,3045.75,3221.75,Greek yogurt,Burrito bowl,Chicken soup,Protein bar
26,Male,179,66,59,12,20.6,1653.75,2563.31,1921.65,Pancakes,Burrito bowl,Salmon and quinoa,Cheese and crackers
32,Male,156,58,45,4,23.83,1400.0,2170.0,-1405.0,Greek yogurt,Grilled chicken salad,Chicken soup,Hummus with carrots
32,Male,159,90,90,25,35.6,1738.75,2695.06,2695.06,Eggs and toast,Pasta with veggies,Chicken soup,Nuts and fruits
43,Female,190,50,40,19,13.85,1311.5,2032.82,1453.88,Eggs and toast,Rice and beans,Steak with veggies,Hummus with carrots
59,Female,181,51,55,12,15.57,1185.25,1837.14,2203.8,Smoothie,Grilled chicken salad,Vegetable stir-fry,Dark chocolate
30,Male,183,109,107,22,32.55,2088.75,3237.56,3137.56,Smoothie,Burrito bowl,Chicken soup,Protein bar
49,Male,177,97,86,15,30.96,1836.25,2846.19,2039.52,Smoothie,Grilled chicken salad,Tofu curry,Protein bar
56,Female,164,78,82,22,29.0,1364.0,2114.2,2314.2,Greek yogurt,Burrito bowl,Chicken soup,Cheese and crackers
49,Male,179,59,55,25,18.41,1468.75,2276.56,2100.56,Greek yogurt,Sushi,Salmon and quinoa,Protein bar
21,Male,186,107,97,12,30.93,2132.5,3305.38,2388.71,Pancakes,Burrito bowl,Salmon and quinoa,Nuts and fruits
47,Male,178,109,109,10,34.4,1972.5,3057.38,3057.38,Smoothie,Burrito bowl,Salmon and quinoa,Dark chocolate
54,Female,171,70,74,17,23.94,1337.75,2073.51,2332.34,Oatmeal with fruits,Burrito bowl,Chicken soup,Hummus with carrots
40,Female,153,77,81,22,32.89,1365.25,2116.14,2316.14,Pancakes,Pasta with veggies,Steak with veggies,Dark chocolate
56,Female,169,83,76,22,29.06,1445.25,2240.14,1890.14,Oatmeal with fruits,Burrito bowl,Tofu curry,Protein bar
62,Female,181,57,48,5,17.4,1230.25,1906.89,-73.11,Greek yogurt,Rice and beans,Chicken soup,Hummus with carrots
32,Female,185,108,112,12,31.56,1915.25,2968.64,3335.3,Pancakes,Rice and beans,Steak with veggies,Cheese and crackers
60,Male,199,98,97,16,24.75,1928.75,2989.56,2920.81,Pancakes,Grilled chicken salad,Steak with veggies,Dark chocolate
46,Female,153,66,69,18,28.19,1225.25,1899.14,2082.47,Eggs and toast,Pasta with veggies,Chicken soup,Hummus with carrots
53,Male,176,109,107,6,35.19,1930.0,2991.5,2624.83,Greek yogurt,Grilled chicken salad,Chicken soup,Hummus with carrots
30,Male,166,94,86,14,34.11,1832.5,2840.38,2211.8,Greek yogurt,Rice and beans,Steak with veggies,Hummus with carrots
49,Female,161,118,117,24,45.52,1780.25,2759.39,2713.55,Pancakes,Rice and beans,Steak with veggies,Nuts and fruits
24,Female,171,81,80,17,27.7,1597.75,2476.51,2411.81,Greek yogurt,Sushi,Steak with veggies,Dark chocolate
39,Male,166,93,98,11,33.75,1777.5,2755.12,3255.12,Pancakes,Burrito bowl,Chicken soup,Hummus with carrots
45,Male,159,114,103,21,45.09,1913.75,2966.31,2390.12,Eggs and toast,Rice and beans,Steak with veggies,Dark chocolate
19,Male,150,57,54,22,25.33,1417.5,2197.12,2047.12,Pancakes,Grilled chicken salad,Salmon and quinoa,Hummus with carrots
59,Female,171,92,85,19,31.46,1532.75,2375.76,1970.5,Greek yogurt,Grilled chicken salad,Chicken soup,Cheese and crackers
62,Female,175,50,37,5,16.33,1122.75,1740.26,-1119.74,Greek yogurt,Burrito bowl,Salmon and quinoa,Cheese and crackers
23,Female,167,100,87,11,35.86,1767.75,2740.01,1440.01,Pancakes,Burrito bowl,Vegetable stir-fry,Cheese and crackers
45,Female,199,73,62,25,18.43,1587.75,2461.01,1977.01,Pancakes,Sushi,Chicken soup,Protein bar
45,Female,163,73,69,9,27.48,1362.75,2112.26,1623.37,Pancakes,Pasta with veggies,Vegetable stir-fry,Hummus with carrots
61,Male,196,66,62,15,17.18,1585.0,2456.75,2163.42,Smoothie,Grilled chicken salad,Steak with veggies,Protein bar
61,Female,178,54,56,18,17.04,1186.5,1839.08,1961.3,Greek yogurt,Burrito bowl,Steak with veggies,Dark chocolate
37,Male,161,69,67,11,26.62,1516.25,2350.19,2150.19,Greek yogurt,Grilled chicken salad,Tofu curry,Protein bar
47,Male,185,70,56,7,20.45,1626.25,2520.69,320.69,Smoothie,Burrito bowl,Steak with veggies,Dark chocolate
28,Male,184,107,93,18,31.6,2085.0,3231.75,2376.19,Pancakes,Rice and beans,Vegetable stir-fry,Dark chocolate
45,Female,161,80,68,23,30.86,1420.25,2201.39,1627.47,Eggs and toast,Grilled chicken salad,Steak with veggies,Dark chocolate
42,Female,156,60,52,20,24.65,1204.0,1866.2,1426.2,Pancakes,Rice and beans,Chicken soup,Protein bar
56,Female,178,101,89,16,31.88,1681.5,2606.33,1781.33,Pancakes,Grilled chicken salad,Steak with veggies,Hummus with carrots
50,Male,160,64,56,21,25.0,1395.0,2162.25,1743.2,Smoothie,Pasta with veggies,Tofu curry,Protein bar
18,Male,182,56,42,5,16.91,1612.5,2499.38,-580.62,Greek yogurt,Sushi,Steak with veggies,Hummus with carrots
44,Male,155,77,68,16,32.05,1523.75,2361.81,1743.06,Pancakes,Rice and beans,Vegetable stir-fry,Hummus with carrots
30,Male,196,100,102,16,26.03,2080.0,3224.0,3361.5,Greek yogurt,Burrito bowl,Vegetable stir-fry,Dark chocolate
58,Male,164,107,100,25,39.78,1810.0,2805.5,2497.5,Oatmeal with fruits,Pasta with veggies,Steak with veggies,Protein bar
20,Male,181,54,52,18,16.48,1576.25,2443.19,2320.97,Greek yogurt,Grilled chicken salad,Vegetable stir-fry,Hummus with carrots
56,Female,160,54,42,23,21.09,1099.0,1703.45,1129.54,Eggs and toast,Rice and beans,Vegetable stir-fry,Cheese and crackers
23,Female,172,57,51,13,19.27,1369.0,2121.95,1614.26,Eggs and toast,Grilled chicken salad,Tofu curry,Hummus with carrots
25,Female,175,113,105,6,36.9,1937.75,3003.51,1536.85,Pancakes,Grilled chicken salad,Chicken soup,Cheese and crackers
44,Female,183,59,63,22,17.62,1352.75,2096.76,2296.76,Greek yogurt,Grilled chicken salad,Tofu curry,Protein bar
26,Male,195,87,75,6,22.88,1963.75,3043.81,843.81,Pancakes,Sushi,Salmon and quinoa,Protein bar
54,Male,183,57,61,25,17.02,1448.75,2245.56,2421.56,Smoothie,Sushi,Tofu curry,Protein bar
50,Female,178,74,69,17,23.36,1441.5,2234.33,1910.8,Eggs and toast,Burrito bowl,Steak with veggies,Hummus with carrots
59,Male,153,115,112,11,49.13,1816.25,2815.19,2515.19,Pancakes,Rice and beans,Chicken soup,Nuts and fruits
61,Female,166,99,93,7,35.93,1561.5,2420.33,1477.47,Smoothie,Pasta with veggies,Steak with veggies,Hummus with carrots
41,Female,184,116,105,23,34.26,1944.0,3013.2,2487.11,Pancakes,Pasta with veggies,Salmon and quinoa,Hummus with carrots
32,Female,162,98,89,14,37.34,1671.5,2590.83,1883.68,Greek yogurt,Pasta with veggies,Chicken soup,Dark chocolate
49,Male,190,85,74,14,23.55,1797.5,2786.12,1921.84,Greek yogurt,Grilled chicken salad,Vegetable stir-fry,Dark chocolate
49,Female,188,117,105,14,33.1,1939.0,3005.45,2062.59,Greek yogurt,Sushi,Tofu curry,Hummus with carrots
41,Female,164,90,90,5,33.46,1559.0,2416.45,2416.45,Greek yogurt,Rice and beans,Steak with veggies,Cheese and crackers
58,Female,178,111,100,20,35.03,1771.5,2745.82,2140.83,Oatmeal with fruits,Grilled chicken salad,Salmon and quinoa,Dark chocolate
29,Male,178,59,47,12,18.62,1562.5,2421.88,1321.88,Smoothie,Sushi,Vegetable stir-fry,Hummus with carrots
56,Male,160,70,68,5,27.34,1425.0,2208.75,1768.75,Smoothie,Sushi,Tofu curry,Nuts and fruits
19,Female,181,85,82,18,25.95,1725.25,2674.14,2490.8,Greek yogurt,Rice and beans,Vegetable stir-fry,Cheese and crackers
20,Male,151,61,61,19,26.75,1458.75,2261.06,2261.06,Oatmeal with fruits,Rice and beans,Tofu curry,Protein bar
54,Male,196,51,52,7,13.28,1470.0,2278.5,2435.64,Greek yogurt,Rice and beans,Chicken soup,Hummus with carrots
34,Male,163,62,56,11,23.34,1473.75,2284.31,1684.31,Oatmeal with fruits,Grilled chicken salad,Vegetable stir-fry,Hummus with carrots
19,Male,169,102,97,12,35.71,1986.25,3078.69,2620.35,Greek yogurt,Burrito bowl,Vegetable stir-fry,Cheese and crackers
19,Male,171,81,86,8,27.7,1788.75,2772.56,3460.06,Eggs and toast,Rice and beans,Vegetable stir-fry,Dark chocolate
45,Male,160,65,60,19,25.39,1430.0,2216.5,1927.03,Eggs and toast,Burrito bowl,Chicken soup,Dark chocolate
40,Male,176,81,68,16,26.15,1715.0,2658.25,1764.5,Pancakes,Grilled chicken salad,Salmon and quinoa,Dark chocolate
54,Male,152,81,78,10,35.06,1495.0,2317.25,1987.25,Greek yogurt,Burrito bowl,Tofu curry,Protein bar
49,Male,166,60,64,23,21.77,1397.5,2166.12,2357.43,Smoothie,Pasta with veggies,Vegetable stir-fry,Cheese and crackers
50,Male,193,59,53,20,15.84,1551.25,2404.44,2074.44,Pancakes,Burrito bowl,Chicken soup,Cheese and crackers
18,Female,177,64,66,6,20.43,1495.25,2317.64,2684.3,Eggs and toast,Rice and beans,Salmon and quinoa,Dark chocolate
36,Female,178,66,68,8,20.83,1431.5,2218.83,2493.83,Greek yogurt,Grilled chicken salad,Tofu curry,Dark chocolate
19,Male,170,89,77,22,30.8,1862.5,2886.88,2286.88,Pancakes,Rice and beans,Chicken soup,Nuts and fruits
